Graph Type,Num Nodes,Edge Probability,Radius,Weight Scheme,Solution,Run time,Objective Function Value
RGG,45,,0.24,Node-Oriented,[],0.03431272506713867,6353.0
RGG,45,,0.24,Node-Oriented,[],0.04982256889343262,6458.0
RGG,45,,0.24,Node-Oriented,[],0.03330683708190918,5051.0
RGG,45,,0.24,Node-Oriented,[],0.0158388614654541,4297.0
RGG,45,,0.24,Edge-Oriented,[],0.036161184310913086,15276.0
RGG,45,,0.24,Edge-Oriented,[],0.03133845329284668,13250.0
RGG,45,,0.24,Edge-Oriented,[],0.03767824172973633,12849.0
RGG,45,,0.24,Edge-Oriented,[],0.029939889907836914,18408.0
RGG,45,,0.34,Neutral,[],0.05002570152282715,2148.0
RGG,45,,0.34,Neutral,[],0.04416465759277344,2019.0
RGG,45,,0.34,Neutral,[],0.038103580474853516,2078.0
RGG,45,,0.34,Neutral,[],0.044014930725097656,2409.0
RGG,45,,0.34,Node-Oriented,[],0.03935575485229492,3072.0
RGG,45,,0.34,Node-Oriented,[],0.03331446647644043,3916.0
RGG,45,,0.34,Node-Oriented,[],0.08036303520202637,3622.0
RGG,45,,0.34,Node-Oriented,[],0.05004382133483887,2440.0
RGG,45,,0.34,Edge-Oriented,[],0.04996609687805176,15758.0
RGG,45,,0.34,Edge-Oriented,[],0.03443479537963867,16558.0
RGG,45,,0.34,Edge-Oriented,[],0.03911089897155762,16219.0
RGG,45,,0.34,Edge-Oriented,[],0.04659914970397949,17882.0
RGG,60,,0.14,Neutral,[],0.03233456611633301,3046.0
RGG,60,,0.14,Neutral,[],0.03000020980834961,3117.0
RGG,60,,0.14,Neutral,[],0.021098852157592773,3065.0
RGG,60,,0.14,Neutral,[],0.03489995002746582,2313.0
RGG,60,,0.14,Node-Oriented,[],0.04631376266479492,6710.0
RGG,60,,0.14,Node-Oriented,[],0.03411459922790527,9943.0
RGG,60,,0.14,Node-Oriented,[],0.031285762786865234,11353.0
RGG,60,,0.14,Node-Oriented,[],0.03335165977478027,10747.0
RGG,60,,0.14,Edge-Oriented,[],0.026360273361206055,17655.0
RGG,60,,0.14,Edge-Oriented,[],0.031210660934448242,18097.0
RGG,60,,0.14,Edge-Oriented,[],0.025723695755004883,17479.0
RGG,60,,0.14,Edge-Oriented,[],0.023823976516723633,12859.0
RGG,60,,0.24,Neutral,[],0.044298410415649414,2904.0
RGG,60,,0.24,Neutral,[],0.047576904296875,2992.0
RGG,60,,0.24,Neutral,[],0.05714082717895508,2932.0
RGG,60,,0.24,Neutral,[],0.050583600997924805,2800.0
RGG,60,,0.24,Node-Oriented,[],0.04320931434631348,6956.0
RGG,60,,0.24,Node-Oriented,[],0.0630025863647461,6193.0
RGG,60,,0.24,Node-Oriented,[],0.04137682914733887,4064.0
RGG,60,,0.24,Node-Oriented,[],0.04996490478515625,6772.0
RGG,60,,0.24,Edge-Oriented,[],0.027752399444580078,20070.0
RGG,60,,0.24,Edge-Oriented,[],0.04019021987915039,18815.0
RGG,60,,0.24,Edge-Oriented,[],0.0499722957611084,22316.0
RGG,60,,0.24,Edge-Oriented,[],0.05038332939147949,21635.0
RGG,60,,0.34,Neutral,[],0.06873416900634766,2798.0
RGG,60,,0.34,Neutral,[],0.06514644622802734,2430.0
RGG,60,,0.34,Neutral,[],0.06665205955505371,2864.0
RGG,60,,0.34,Neutral,[],0.05005764961242676,2575.0
RGG,60,,0.34,Node-Oriented,[],0.07540082931518555,3063.0
RGG,60,,0.34,Node-Oriented,[],0.07519721984863281,4294.0
RGG,60,,0.34,Node-Oriented,[],0.07103443145751953,2497.0
RGG,60,,0.34,Node-Oriented,[],0.053650617599487305,3504.0
RGG,60,,0.34,Edge-Oriented,[],0.07150745391845703,27176.0
RGG,60,,0.34,Edge-Oriented,[],0.08165383338928223,21351.0
RGG,60,,0.34,Edge-Oriented,[],0.11175751686096191,25247.0
RGG,60,,0.34,Edge-Oriented,[],0.10001373291015625,22482.0
